,NN,NP,Date
0,0.0,0.0,2012-2
1,6.0,42.0,2012-3
2,40.0,116.0,2012-4
3,24.0,91.0,2013-1
4,8.0,82.0,2013-2
5,6.0,98.0,2013-3
6,5.0,86.0,2013-4
7,5.0,77.0,2014-1
8,13.0,108.0,2014-2
9,27.0,171.0,2014-3
10,22.0,199.0,2014-4
11,51.0,282.0,2015-1
12,45.0,269.0,2015-2
13,86.0,284.0,2015-3
14,39.0,231.0,2015-4
15,76.0,259.0,2016-1
16,77.0,466.0,2016-2
17,64.0,530.0,2016-3
18,45.0,429.0,2016-4
19,38.0,230.0,2017-1
20,83.0,1194.0,2017-2
21,122.0,1731.0,2017-3
22,102.0,1093.0,2017-4
23,102.0,968.0,2018-1
24,101.0,1060.0,2018-2
25,102.0,399.0,2018-3
26,173.0,772.0,2018-4
27,151.0,1107.0,2019-1
28,97.0,759.0,2019-2
29,116.0,1109.0,2019-3
30,75.0,1017.0,2019-4
31,39.0,377.0,2020-1
